conversation_id,turn,speaker,message
c001,1,user,Hi my package is late
c001,2,agent,Sorry to hear that can you share the order id
c001,3,user,Order id is A123
c001,4,agent,Thanks I am checking the status now
c001,5,agent,The courier shows delay due to weather
c001,6,user,When can I expect delivery
c001,7,agent,Estimated delivery is tomorrow evening
c001,8,user,Please confirm once it ships
c001,9,agent,I will set a notification for shipment scan
c001,10,user,Okay thanks for the quick help
c002,1,user,I want to return these shoes
c002,2,agent,Sure may I know the reason for return
c002,3,user,Size is too small and uncomfortable
c002,4,agent,Understood I can issue a return label
c002,5,user,Do I need to pay for shipping
c002,6,agent,Return shipping is free within 30 days
c002,7,user,Great please email the label
c002,8,agent,I have sent the label to your email
c002,9,user,Received it thanks
c002,10,agent,You are welcome have a good day
c003,1,user,The blender stopped working after one week
c003,2,agent,Sorry about that can you share the order number
c003,3,user,Order number B456
c003,4,agent,Thank you I will check warranty options
c003,5,agent,It is under warranty for one year
c003,6,user,Can I get a replacement
c003,7,agent,Yes I can arrange a replacement at no cost
c003,8,user,How long will it take
c003,9,agent,Replacement will ship in two business days
c003,10,user,Thanks that helps
c004,1,user,I was charged twice for the same order
c004,2,agent,I am sorry for the inconvenience please share order id
c004,3,user,Order id C789
c004,4,agent,I see a duplicate charge pending
c004,5,agent,The pending amount will auto reverse in three to five days
c004,6,user,Can you speed it up
c004,7,agent,I will raise a ticket with billing team
c004,8,user,Please send me the ticket id
c004,9,agent,Ticket id is T9021 and I have emailed details
c004,10,user,Thanks please keep me updated
c005,1,user,Does this laptop support dual monitors
c005,2,agent,Yes via HDMI and USB C display out
c005,3,user,Do I need a specific adapter
c005,4,agent,You will need a USB C to DisplayPort adapter for the second screen
c005,5,user,What about refresh rate
c005,6,agent,It supports up to 120 Hz on one external display
c005,7,user,Is there stock in Bengaluru store
c005,8,agent,Stock is available in the Indiranagar store
c005,9,user,Can you reserve one for pickup
c005,10,agent,I have placed a hold for 24 hours under your name
